,cw_Very worried,cw_Somewhat worried,cw_Not very worried,cw_Not at all worried,cw_Refused,hp_A great deal,hp_A moderate amount,hp_Only a little,hp_Not at all,hp_Don’t know,hp_Refused
Tanzania,48.8702031240199,23.3979714663278,10.3010424808342,10.4684941445926,6.96228878422544,31.0149327262862,25.3666479514466,12.6441093482985,6.98773931921306,21.8677145183012,2.11885613645436
Thailand,14.8160779754829,52.6455290215286,24.7262622918092,6.286928569867,1.52520214131229,27.8667461699483,39.5032207881699,15.4163352925163,4.10140147875857,11.0862431069906,2.0260531636163
Trinidad and Tobago,40.2087620851072,33.5082067963824,18.7649541521334,7.05462104861629,0.463455917760651,38.1381821657697,25.4608756237316,12.7753578061386,4.46556115051154,18.8289875277819,0.331035726066632
Tunisia,39.1817540728412,32.6737910760906,14.8014632733267,9.55736173285228,3.78562984488917,27.1845637009434,26.9131017087215,12.8358056284135,6.45887873670573,21.9834622912746,4.62418793394132
Turkey,45.0869771282164,35.2791942736046,10.7503246556144,8.39437655885594,0.489127383708622,46.7435582476953,20.5485463245035,8.39446124992023,4.68568021970894,19.1189398875576,0.50881407061445
United Arab Emirates,40.2932135353756,29.5761822462594,18.0403692347134,10.3156878105297,1.77454717312184,32.829406909691,24.1297957838718,16.0986733926441,9.09175023407364,16.5112471485188,1.33912653120062
United Kingdom,28.3730791417731,48.0595737335695,16.361098897522,7.15010808433155,0.0561401428038011,13.5292895967819,38.4268878881582,26.601753009249,11.6044116366647,9.64528664175817,0.192371227388055
United States,32.0184993755223,35.5915263417038,16.2092684282006,16.089328825172,0.0913770294013306,21.8252144250345,29.6693958670681,18.4366331872411,20.0686280794487,9.79855771518095,0.201570726026688
Uruguay,50.0907610589246,35.0700811615064,9.09730746268406,4.68444183068089,1.0574084862041,32.0390474456937,32.6751367888903,11.5454768231749,6.66664739884836,16.9318660546958,0.141825488696866
Uzbekistan,37.3862231661641,41.1721257644686,14.3242557877164,6.4937769228879,0.623618358763021,13.5334518017553,34.2279803801691,27.4522543869553,10.8862897991939,12.8582813258666,1.04174230605972
Vietnam,40.0040297378938,45.1900108545142,9.95435651275466,3.23720082383701,1.61440207100032,51.8059019478555,25.7695788195361,8.87099189612761,1.62042526540535,10.9220114182289,1.01109065284648
Yemen,7.32575446446406,24.3782065002599,26.250940890449,40.8613591258992,1.18373901892783,11.4083577401523,17.7042306551403,18.0017719072348,13.700107750575,36.3852257564052,2.80030619049236
Zambia,61.1442235269067,13.2459952914267,16.5323356207061,7.50817758317191,1.56926797778853,50.9577639205511,18.1936753873082,11.6237026583796,4.7385916075884,13.2915666702586,1.1946997559141
